Município,State
110001,Rondonia
110002,Rondonia
110003,Rondonia
110004,Rondonia
110005,Rondonia
110006,Rondonia
110007,Rondonia
110008,Rondonia
110009,Rondonia
110010,Rondonia
110011,Rondonia
110012,Rondonia
110013,Rondonia
110014,Rondonia
110015,Rondonia
110018,Rondonia
110020,Rondonia
110025,Rondonia
110026,Rondonia
110028,Rondonia
110029,Rondonia
110030,Rondonia
110032,Rondonia
110033,Rondonia
110034,Rondonia
110037,Rondonia
110040,Rondonia
110045,Rondonia
110050,Rondonia
110060,Rondonia
110070,Rondonia
110080,Rondonia
110090,Rondonia
110092,Rondonia
110094,Rondonia
110100,Rondonia
110110,Rondonia
110120,Rondonia
110130,Rondonia
110140,Rondonia
110143,Rondonia
110145,Rondonia
110146,Rondonia
110147,Rondonia
110148,Rondonia
110149,Rondonia
110150,Rondonia
110155,Rondonia
110160,Rondonia
110170,Rondonia
110175,Rondonia
110180,Rondonia
119999,Rondonia
120001,Acre
120005,Acre
120010,Acre
120013,Acre
120017,Acre
120020,Acre
120025,Acre
120030,Acre
120032,Acre
120033,Acre
120034,Acre
120035,Acre
120038,Acre
120039,Acre
120040,Acre
120042,Acre
120043,Acre
120045,Acre
120050,Acre
120060,Acre
120070,Acre
120080,Acre
129999,Acre
130002,Amazonas
130006,Amazonas
130008,Amazonas
130010,Amazonas
130014,Amazonas
130020,Amazonas
130030,Amazonas
130040,Amazonas
130050,Amazonas
130060,Amazonas
130063,Amazonas
130068,Amazonas
130070,Amazonas
130080,Amazonas
130083,Amazonas
130090,Amazonas
130100,Amazonas
130110,Amazonas
130115,Amazonas
130120,Amazonas
130130,Amazonas
130140,Amazonas
130150,Amazonas
130160,Amazonas
130165,Amazonas
130170,Amazonas
130180,Amazonas
130185,Amazonas
130190,Amazonas
130195,Amazonas
130200,Amazonas
130210,Amazonas
130220,Amazonas
130230,Amazonas
130240,Amazonas
130250,Amazonas
130255,Amazonas
130260,Amazonas
130270,Amazonas
130280,Amazonas
130290,Amazonas
130300,Amazonas
130310,Amazonas
130320,Amazonas
130330,Amazonas
130340,Amazonas
130350,Amazonas
130353,Amazonas
130356,Amazonas
130360,Amazonas
130370,Amazonas
130380,Amazonas
130390,Amazonas
130395,Amazonas
130400,Amazonas
130406,Amazonas
130410,Amazonas
130420,Amazonas
130423,Amazonas
130426,Amazonas
130430,Amazonas
130440,Amazonas
139999,Amazonas
140002,Roraima
140005,Roraima
140010,Roraima
140015,Roraima
140017,Roraima
140020,Roraima
140023,Roraima
140028,Roraima
140030,Roraima
140040,Roraima
140045,Roraima
140047,Roraima
140050,Roraima
140060,Roraima
140070,Roraima
149999,Roraima
150010,Para
150013,Para
150020,Para
150030,Para
150034,Para
150040,Para
150050,Para
150060,Para
150070,Para
150080,Para
150085,Para
150090,Para
150095,Para
150100,Para
150110,Para
150120,Para
150125,Para
150130,Para
150140,Para
150145,Para
150150,Para
150157,Para
150160,Para
150170,Para
150172,Para
150175,Para
150178,Para
150180,Para
150190,Para
150195,Para
150200,Para
150210,Para
150215,Para
150220,Para
150230,Para
150240,Para
150250,Para
150260,Para
150270,Para
150275,Para
150276,Para
150277,Para
150280,Para
150285,Para
150290,Para
150293,Para
150295,Para
150300,Para
150304,Para
150307,Para
150309,Para
150310,Para
150320,Para
150330,Para
150340,Para
150345,Para
150350,Para
150360,Para
150370,Para
150375,Para
150380,Para
150390,Para
150400,Para
150405,Para
150410,Para
150420,Para
150430,Para
150440,Para
150442,Para
150445,Para
150450,Para
150460,Para
150470,Para
150475,Para
150480,Para
150490,Para
150495,Para
150497,Para
150500,Para
150503,Para
150506,Para
150510,Para
150520,Para
150530,Para
150540,Para
150543,Para
150548,Para
150549,Para
150550,Para
150553,Para
150555,Para
150560,Para
150563,Para
150565,Para
150570,Para
150580,Para
150590,Para
150600,Para
150610,Para
150611,Para
150613,Para
150616,Para
150618,Para
150619,Para
150620,Para
150630,Para
150635,Para
150640,Para
150650,Para
150655,Para
150658,Para
150660,Para
150670,Para
150680,Para
150690,Para
150700,Para
150710,Para
150715,Para
150720,Para
150730,Para
150740,Para
150745,Para
150746,Para
150747,Para
150750,Para
150760,Para
150770,Para
150775,Para
150780,Para
150790,Para
150795,Para
150796,Para
150797,Para
150800,Para
150803,Para
150805,Para
150808,Para
150810,Para
150812,Para
150815,Para
150820,Para
150830,Para
150835,Para
150840,Para
159999,Para
160005,Amapa
160010,Amapa
160015,Amapa
160020,Amapa
160021,Amapa
160023,Amapa
160025,Amapa
160027,Amapa
160030,Amapa
160040,Amapa
160050,Amapa
160053,Amapa
160055,Amapa
160060,Amapa
160070,Amapa
160080,Amapa
169999,Amapa
170025,Tocantins
170030,Tocantins
170035,Tocantins
170040,Tocantins
170070,Tocantins
170100,Tocantins
170105,Tocantins
170110,Tocantins
170130,Tocantins
170190,Tocantins
170200,Tocantins
170210,Tocantins
170215,Tocantins
170220,Tocantins
170230,Tocantins
170240,Tocantins
170255,Tocantins
170270,Tocantins
170290,Tocantins
170300,Tocantins
170305,Tocantins
170307,Tocantins
170310,Tocantins
170320,Tocantins
170330,Tocantins
170360,Tocantins
170370,Tocantins
170380,Tocantins
170382,Tocantins
170384,Tocantins
170386,Tocantins
170388,Tocantins
170389,Tocantins
170390,Tocantins
170410,Tocantins
170460,Tocantins
170510,Tocantins
170550,Tocantins
170555,Tocantins
170560,Tocantins
170600,Tocantins
170610,Tocantins
170625,Tocantins
170650,Tocantins
170700,Tocantins
170710,Tocantins
170720,Tocantins
170730,Tocantins
170740,Tocantins
170755,Tocantins
170765,Tocantins
170770,Tocantins
170820,Tocantins
170825,Tocantins
170830,Tocantins
170900,Tocantins
170930,Tocantins
170950,Tocantins
170980,Tocantins
171050,Tocantins
171070,Tocantins
171090,Tocantins
171110,Tocantins
171150,Tocantins
171180,Tocantins
171190,Tocantins
171195,Tocantins
171200,Tocantins
171215,Tocantins
171240,Tocantins
171245,Tocantins
171250,Tocantins
171270,Tocantins
171280,Tocantins
171320,Tocantins
171330,Tocantins
171360,Tocantins
171370,Tocantins
171380,Tocantins
171395,Tocantins
171420,Tocantins
171430,Tocantins
171488,Tocantins
171500,Tocantins
171510,Tocantins
171515,Tocantins
171525,Tocantins
171550,Tocantins
171570,Tocantins
171575,Tocantins
171610,Tocantins
171620,Tocantins
171630,Tocantins
171650,Tocantins
171660,Tocantins
171665,Tocantins
171670,Tocantins
171700,Tocantins
171720,Tocantins
171750,Tocantins
171780,Tocantins
171790,Tocantins
171800,Tocantins
171820,Tocantins
171830,Tocantins
171840,Tocantins
171845,Tocantins
171850,Tocantins
171855,Tocantins
171865,Tocantins
171870,Tocantins
171875,Tocantins
171880,Tocantins
171884,Tocantins
171886,Tocantins
171888,Tocantins
171889,Tocantins
171890,Tocantins
171900,Tocantins
172000,Tocantins
172010,Tocantins
172015,Tocantins
172020,Tocantins
172025,Tocantins
172030,Tocantins
172049,Tocantins
172065,Tocantins
172080,Tocantins
172085,Tocantins
172090,Tocantins
172093,Tocantins
172097,Tocantins
172100,Tocantins
172110,Tocantins
172120,Tocantins
172125,Tocantins
172130,Tocantins
172208,Tocantins
172210,Tocantins
179999,Tocantins
210005,Maranhao
210010,Maranhao
210015,Maranhao
210020,Maranhao
210030,Maranhao
210040,Maranhao
210043,Maranhao
210047,Maranhao
210050,Maranhao
210055,Maranhao
210060,Maranhao
210070,Maranhao
210080,Maranhao
210083,Maranhao
210087,Maranhao
210090,Maranhao
210095,Maranhao
210100,Maranhao
210110,Maranhao
210120,Maranhao
210125,Maranhao
210130,Maranhao
210135,Maranhao
210140,Maranhao
210150,Maranhao
210160,Maranhao
210170,Maranhao
210173,Maranhao
210177,Maranhao
210180,Maranhao
210190,Maranhao
210193,Maranhao
210197,Maranhao
210200,Maranhao
210203,Maranhao
210207,Maranhao
210210,Maranhao
210215,Maranhao
210220,Maranhao
210230,Maranhao
210232,Maranhao
210235,Maranhao
210237,Maranhao
210240,Maranhao
210250,Maranhao
210255,Maranhao
210260,Maranhao
210270,Maranhao
210275,Maranhao
210280,Maranhao
210290,Maranhao
210300,Maranhao
210310,Maranhao
210312,Maranhao
210315,Maranhao
210317,Maranhao
210320,Maranhao
210325,Maranhao
210330,Maranhao
210340,Maranhao
210350,Maranhao
210355,Maranhao
210360,Maranhao
210370,Maranhao
210375,Maranhao
210380,Maranhao
210390,Maranhao
210400,Maranhao
210405,Maranhao
210407,Maranhao
210408,Maranhao
210409,Maranhao
210410,Maranhao
210420,Maranhao
210430,Maranhao
210440,Maranhao
210450,Maranhao
210455,Maranhao
210460,Maranhao
210462,Maranhao
210465,Maranhao
210467,Maranhao
210470,Maranhao
210480,Maranhao
210490,Maranhao
210500,Maranhao
210510,Maranhao
210515,Maranhao
210520,Maranhao
210530,Maranhao
210535,Maranhao
210540,Maranhao
210542,Maranhao
210545,Maranhao
210547,Maranhao
210550,Maranhao
210560,Maranhao
210565,Maranhao
210570,Maranhao
210580,Maranhao
210590,Maranhao
210592,Maranhao
210594,Maranhao
210596,Maranhao
210598,Maranhao
210600,Maranhao
210610,Maranhao
210620,Maranhao
210630,Maranhao
210632,Maranhao
210635,Maranhao
210637,Maranhao
210640,Maranhao
210650,Maranhao
